seq,module_path,op,mapping,total_cycles,compute_cycles,fallback_cycles,snapshot_cycles,requant_cycles,write_cycles,activation_read_cycles,weight_read_cycles,valid_mac_count,tile_count,activation_bytes,weight_bytes,output_bytes
149,vision_encoder.backbone.layer.6.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
150,vision_encoder.backbone.layer.6.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
151,vision_encoder.backbone.layer.6.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
152,vision_encoder.backbone.layer.6.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
153,vision_encoder.backbone.layer.6.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
154,vision_encoder.backbone.layer.6.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
155,vision_encoder.backbone.layer.6.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
156,vision_encoder.backbone.layer.7.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
157,vision_encoder.backbone.layer.7.attention.q_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
158,vision_encoder.backbone.layer.7.attention.k_proj,GEMM_W8A16,rtl_gemm,448288,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
159,vision_encoder.backbone.layer.7.attention.v_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
160,vision_encoder.backbone.layer.7.attention.o_proj,GEMM_W8A16,rtl_gemm,460816,213248,,1088,12528,12528,208896,208896,153944064,272,400896,589824,400896
161,vision_encoder.backbone.layer.7.norm2,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
162,vision_encoder.backbone.layer.7.mlp.up_proj,GEMM_W8A16,rtl_gemm,1843264,852992,,4352,50112,50112,835584,835584,615776256,1088,400896,2359296,1603584
163,vision_encoder.backbone.layer.7.mlp.down_proj,GEMM_W8A16,rtl_gemm,1714192,839936,,1088,12528,12528,835584,835584,615776256,272,1603584,2359296,400896
164,vision_encoder.backbone.layer.8.norm1,LAYER_NORM,rtl_vector,100224,,100224,,,,,,,,,,801792
