descriptor_id,source_seq,module_path,op,mapping,total_cycles,base_total_cycles,fallback_cycles,vector_cycles,activation_read_cycles,weight_read_cycles,write_cycles,snapshot_cycles,requant_cycles,valid_mac_count,tile_count,activation_bytes,weight_bytes,output_bytes,active_pe_cycles,serial_total_cycles,compute_cycles,base_write_cycles,bias_cycles,write_coalesced,mode
11,11,text_encoder.bert.encoder.layer.1.attention.self.value,GEMM_W8A8,rtl_gemm,12560,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,double_buffer
12,12,text_encoder.bert.encoder.layer.1.attention.output.dense,GEMM_W8A8,rtl_gemm,12560,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,double_buffer
13,13,text_encoder.bert.encoder.layer.1.attention.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
14,14,text_encoder.bert.encoder.layer.1.intermediate.dense,GEMM_W8A8,rtl_gemm,50192,111680,0,,49152,49152,4032,256,4032,49545216,64,16128,2359296,64512,24772608,111680,50176,4032,4032,False,double_buffer
15,15,text_encoder.bert.encoder.layer.1.output.dense,GEMM_W8A8,rtl_gemm,49424,101648,0,,49152,49152,1008,64,1008,49545216,16,64512,2359296,16128,24772608,101648,49408,1008,1008,False,double_buffer
16,16,text_encoder.bert.encoder.layer.1.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
17,17,text_encoder.bert.encoder.layer.2.attention.self.query,GEMM_W8A8,rtl_gemm,12560,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,double_buffer
18,18,text_encoder.bert.encoder.layer.2.attention.self.key,GEMM_W8A8,rtl_gemm,12560,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,double_buffer
19,19,text_encoder.bert.encoder.layer.2.attention.self.value,GEMM_W8A8,rtl_gemm,12560,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,double_buffer
20,20,text_encoder.bert.encoder.layer.2.attention.output.dense,GEMM_W8A8,rtl_gemm,12560,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,double_buffer
21,21,text_encoder.bert.encoder.layer.2.attention.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
22,22,text_encoder.bert.encoder.layer.2.intermediate.dense,GEMM_W8A8,rtl_gemm,50192,111680,0,,49152,49152,4032,256,4032,49545216,64,16128,2359296,64512,24772608,111680,50176,4032,4032,False,double_buffer
23,23,text_encoder.bert.encoder.layer.2.output.dense,GEMM_W8A8,rtl_gemm,49424,101648,0,,49152,49152,1008,64,1008,49545216,16,64512,2359296,16128,24772608,101648,49408,1008,1008,False,double_buffer
24,24,text_encoder.bert.encoder.layer.2.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
25,25,text_encoder.bert.encoder.layer.3.attention.self.query,GEMM_W8A8,rtl_gemm,12560,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,double_buffer
26,26,text_encoder.bert.encoder.layer.3.attention.self.key,GEMM_W8A8,rtl_gemm,12560,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,double_buffer
27,27,text_encoder.bert.encoder.layer.3.attention.self.value,GEMM_W8A8,rtl_gemm,12560,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,double_buffer
28,28,text_encoder.bert.encoder.layer.3.attention.output.dense,GEMM_W8A8,rtl_gemm,12560,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,double_buffer
29,29,text_encoder.bert.encoder.layer.3.attention.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
30,30,text_encoder.bert.encoder.layer.3.intermediate.dense,GEMM_W8A8,rtl_gemm,50192,111680,0,,49152,49152,4032,256,4032,49545216,64,16128,2359296,64512,24772608,111680,50176,4032,4032,False,double_buffer
31,31,text_encoder.bert.encoder.layer.3.output.dense,GEMM_W8A8,rtl_gemm,49424,101648,0,,49152,49152,1008,64,1008,49545216,16,64512,2359296,16128,24772608,101648,49408,1008,1008,False,double_buffer
32,32,text_encoder.bert.encoder.layer.3.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
33,33,text_encoder.bert.encoder.layer.4.attention.self.query,GEMM_W8A8,rtl_gemm,12560,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,double_buffer
34,34,text_encoder.bert.encoder.layer.4.attention.self.key,GEMM_W8A8,rtl_gemm,12560,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,double_buffer
35,35,text_encoder.bert.encoder.layer.4.attention.self.value,GEMM_W8A8,rtl_gemm,12560,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,double_buffer
36,36,text_encoder.bert.encoder.layer.4.attention.output.dense,GEMM_W8A8,rtl_gemm,12560,27920,0,,12288,12288,1008,64,1008,12386304,16,16128,589824,16128,6193152,27920,12544,1008,1008,False,double_buffer
37,37,text_encoder.bert.encoder.layer.4.attention.output.LayerNorm,LAYER_NORM,aux_behavior,8064,8064,8064,8064,4032,0,4032,0,0,0,0,64512,0,64512,0,,,,,,
38,38,text_encoder.bert.encoder.layer.4.intermediate.dense,GEMM_W8A8,rtl_gemm,50192,111680,0,,49152,49152,4032,256,4032,49545216,64,16128,2359296,64512,24772608,111680,50176,4032,4032,False,double_buffer
39,39,text_encoder.bert.encoder.layer.4.output.dense,GEMM_W8A8,rtl_gemm,49424,101648,0,,49152,49152,1008,64,1008,49545216,16,64512,2359296,16128,24772608,101648,49408,1008,1008,False,double_buffer
