module,op,shape,tensor_a_zero_fraction,tensor_b_zero_fraction,tensor_a_endpoint_fraction,tensor_b_endpoint_fraction,tensor_output_nrmse,tensor_output_mae,tensor_output_max,token_a_zero_fraction,token_b_zero_fraction,token_a_endpoint_fraction,token_b_endpoint_fraction,token_output_nrmse,token_output_mae,token_output_max,group_32_a_zero_fraction,group_32_b_zero_fraction,group_32_a_endpoint_fraction,group_32_b_endpoint_fraction,group_32_output_nrmse,group_32_output_mae,group_32_output_max
vision_encoder.backbone.layer.1.attention.k_proj,linear,"[1, 261, 768] x [768, 768]",0.19203484058380127,0.01773749478161335,4.988824912288692e-06,0.0013393826084211469,0.02497202157974243,0.025053463876247406,0.1797674298286438,0.16877692937850952,0.01773749478161335,0.0013020832557231188,0.0013393826084211469,0.02116485871374607,0.02068967930972576,0.14994966983795166,0.05168422684073448,0.010030110366642475,0.03145952895283699,0.0316941998898983,0.006218521390110254,0.006078152451664209,0.04957860708236694
text_encoder.bert.encoder.layer.10.output.dense,linear,"[1, 14, 3072] x [3072, 768]",0.9817941188812256,0.013261583633720875,2.325148852833081e-05,0.000347137451171875,0.02489660680294037,0.1739022135734558,3.2039794921875,0.2689732313156128,0.013261583633720875,0.00032552084303461015,0.000347137451171875,0.009474229998886585,0.038432154804468155,1.9131393432617188,0.045921690762043,0.007584466133266687,0.038109190762043,0.03184085339307785,0.0012380443513393402,0.004158482886850834,0.11008685827255249
vision_encoder.backbone.layer.4.attention.o_proj,linear,"[1, 261, 768] x [768, 768]",0.055849894881248474,0.012949625961482525,4.988824912288692e-06,0.0013529459247365594,0.024058829993009567,0.018457595258951187,0.12338799238204956,0.03623383492231369,0.012949625961482525,0.0013370050583034754,0.0013529459247365594,0.017949853092432022,0.013481304049491882,0.09960126876831055,0.010257024317979813,0.007632785476744175,0.03164411708712578,0.0318230539560318,0.00811133161187172,0.006192977074533701,0.03999781608581543
text_encoder.bert.encoder.layer.3.attention.self,attention_av,"[1, 12, 14, 14] x [1, 12, 14, 64]",0.46003401279449463,0.010509672574698925,0.010204081423580647,0.0723586305975914,0.023786408826708794,0.003358811140060425,0.02423340082168579,0.37542515993118286,0.009393601678311825,0.07185374200344086,0.072265625,0.011082101613283157,0.0020615134853869677,0.017920970916748047,0.7256324291229248,0.5672607421875,0.0318080373108387,0.0315348319709301,0.011030520312488079,0.0020445336122065783,0.017122775316238403
text_encoder.bert.encoder.layer.4.attention.output.dense,linear,"[1, 11, 768] x [768, 768]",0.07658617943525314,0.011174519546329975,0.00011837121564894915,0.0013614230556413531,0.02359718084335327,0.0052893804386258125,0.03098607063293457,0.028290720656514168,0.011174519546329975,0.0013020833721384406,0.0013614230556413531,0.01319287158548832,0.0031584291718900204,0.026761174201965332,0.009351326152682304,0.0072309705428779125,0.03160511329770088,0.0318128801882267,0.007193881087005138,0.0017582966247573495,0.018793821334838867
vision_language_interaction.text_layers.4.self_attn,linear,"[21, 1, 256] x [256, 768]",0.0465029776096344,0.01140340231359005,0.0013020833721384406,0.004007975570857525,0.02353384904563427,0.015899261459708214,0.08794677257537842,0.0505952388048172,0.01140340231359005,0.00390625,0.004007975570857525,0.019969092682003975,0.013658260926604271,0.08372843265533447,0.015252976678311825,0.0080413818359375,0.0318080373108387,0.0316925048828125,0.009543396532535553,0.00674577197059989,0.04259335994720459
text_encoder.bert.encoder.layer.4.attention.output.dense,linear,"[1, 21, 768] x [768, 768]",0.064546138048172,0.011174519546329975,6.200397183420137e-05,0.0013614230556413531,0.02306169643998146,0.005137478932738304,0.02970743179321289,0.02077133022248745,0.011174519546329975,0.0013020833721384406,0.0013614230556413531,0.01257296185940504,0.003484024666249752,0.02848130464553833,0.0105406753718853,0.0072309705428779125,0.0318080373108387,0.0318128801882267,0.00730197224766016,0.001934026600793004,0.02219367027282715
vision_encoder.backbone.layer.2.attention.k_proj,linear,"[1, 261, 768] x [768, 768]",0.1624511033296585,0.01813761331140995,4.988824912288692e-06,0.0013512505684047937,0.02302877977490425,0.03652230650186539,0.32093697786331177,0.12627214193344116,0.01813761331140995,0.0013170497259125113,0.0013512505684047937,0.01607487164437771,0.025103459134697914,0.20932511985301971,0.02796236425638199,0.00998602993786335,0.031554318964481354,0.0316806361079216,0.0056806765496730804,0.008997843600809574,0.07169729471206665
vision_encoder.backbone.layer.1.attention.q_proj,linear,"[1, 261, 768] x [768, 768]",0.19203484058380127,0.0204739049077034,4.988824912288692e-06,0.0013410780811682343,0.022866737097501755,0.02471490576863289,0.1681542992591858,0.16877692937850952,0.0204739049077034,0.0013020832557231188,0.0013410780811682343,0.019382497295737267,0.020475735887885094,0.1461583375930786,0.05168422684073448,0.010904948227107525,0.03145952895283699,0.0316263847053051,0.005734278354793787,0.0060388450510799885,0.04690730571746826
vision_encoder.backbone.layer.5.attention.o_proj,linear,"[1, 261, 768] x [768, 768]",0.04323315620422363,0.0127105712890625,4.988824912288692e-06,0.0013631185283884406,0.022821666672825813,0.011416028253734112,0.07109439373016357,0.027837643399834633,0.0127105712890625,0.0013569603906944394,0.0013631185283884406,0.01541141513735056,0.009946675039827824,0.0748516321182251,0.00900482852011919,0.00762939453125,0.03174888342618942,0.0318247489631176,0.007649802602827549,0.005017644725739956,0.037780702114105225
text_encoder.bert.encoder.layer.10.output.dense,linear,"[1, 11, 3072] x [3072, 768]",0.9862985610961914,0.013261583633720875,2.9592803912237287e-05,0.000347137451171875,0.02197233960032463,0.17039409279823303,2.4901885986328125,0.2063802182674408,0.013261583633720875,0.00035511364694684744,0.000347137451171875,0.008934848010540009,0.02999161370098591,2.39996337890625,0.040127843618392944,0.007584466133266687,0.0390625,0.03184085339307785,0.0011306063970550895,0.004488070961087942,0.12097564339637756
vision_language_interaction.fusion_layers.3.attn.l_proj,linear,"[1, 21, 256] x [256, 1024]",0.0453869067132473,0.010234832763671875,0.00018601190822664648,0.004024505615234375,0.021915003657341003,0.010231693275272846,0.05720078945159912,0.0461309514939785,0.010234832763671875,0.00390625,0.004024505615234375,0.017682189121842384,0.009629967622458935,0.05936121940612793,0.009486607275903225,0.00762176513671875,0.0318080373108387,0.03185272216796875,0.008480040356516838,0.004768611863255501,0.026994824409484863
text_encoder.bert.encoder.layer.10.attention.self,attention_av,"[1, 12, 14, 14] x [1, 12, 14, 64]",0.46088433265686035,0.01116071455180645,0.010204081423580647,0.0724516361951828,0.02175069972872734,0.004026507958769798,0.03509989380836487,0.4447278678417206,0.01125372014939785,0.0714285671710968,0.0719866082072258,0.016645479947328568,0.0029715357813984156,0.0439896434545517,0.7594866156578064,0.5673421621322632,0.03125,0.0316569022834301,0.015835685655474663,0.0032107180450111628,0.05670227110385895
text_encoder.bert.pooler.dense,linear,"[1, 768] x [768, 768]",0.06640625,0.0118696428835392,0.0013020833721384406,0.0013478597393259406,0.021690547466278076,0.00928154494613409,0.06175971031188965,0.0377604179084301,0.0118696428835392,0.0013020833721384406,0.0013478597393259406,0.012896522879600525,0.005526932887732983,0.043712615966796875,0.00911458395421505,0.007954915054142475,0.0325520858168602,0.0317755825817585,0.003803069470450282,0.0020166297908872366,0.021857500076293945
text_encoder.bert.encoder.layer.3.attention.self,attention_av,"[1, 12, 21, 21] x [1, 12, 21, 64]",0.7010582089424133,0.010726687498390675,0.01814058981835842,0.0487351231276989,0.02136683277785778,0.00312619935721159,0.03470394015312195,0.658730149269104,0.01109871082007885,0.0476190485060215,0.048363097012043,0.012324965558946133,0.0021935247350484133,0.015483647584915161,0.7730655074119568,0.3528645932674408,0.0314980186522007,0.0317789725959301,0.012103745713829994,0.002170549239963293,0.017304599285125732
vision_language_interaction.fusion_layers.3.attn.values_l_proj,linear,"[1, 21, 256] x [256, 1024]",0.0453869067132473,0.01024627685546875,0.00018601190822664648,0.00403594970703125,0.021236039698123932,0.009157382883131504,0.05309745669364929,0.0461309514939785,0.01024627685546875,0.00390625,0.00403594970703125,0.015902353450655937,0.008921579457819462,0.051151931285858154,0.009486607275903225,0.00765228271484375,0.0318080373108387,0.031810760498046875,0.007750103250145912,0.0044243475422263145,0.03154873847961426
vision_encoder.backbone.layer.6.attention.o_proj,linear,"[1, 261, 768] x [768, 768]",0.03496667370200157,0.012395222671329975,9.977649824577384e-06,0.0013597276993095875,0.021115338429808617,0.011146110482513905,0.06537950038909912,0.03040189854800701,0.012395222671329975,0.0013120609801262617,0.0013597276993095875,0.016805613413453102,0.009223035536706448,0.07205060124397278,0.009369012899696827,0.00738525390625,0.03174888342618942,0.0318654365837574,0.007700630463659763,0.004294975660741329,0.03043586015701294
vision_encoder.backbone.layer.8.attention.o_proj,linear,"[1, 261, 768] x [768, 768]",0.039112389087677,0.011928982101380825,9.977649824577384e-06,0.0013393826084211469,0.020893385633826256,0.011720242910087109,0.07475056499242783,0.02365201897919178,0.011928982101380825,0.0013170497259125113,0.0013393826084211469,0.013880561105906963,0.009187857620418072,0.07567200064659119,0.008386214263737202,0.007290310226380825,0.031788792461156845,0.0318366177380085,0.0072509534657001495,0.004825123120099306,0.034688860177993774
text_encoder.bert.encoder.layer.5.attention.output.dense,linear,"[1, 14, 768] x [768, 768]",0.0809151828289032,0.0111982561647892,9.300595411332324e-05,0.0013478597393259406,0.020837673917412758,0.00527610257267952,0.040070176124572754,0.0270647332072258,0.0111982561647892,0.0013950893189758062,0.0013478597393259406,0.011125529184937477,0.0030255517922341824,0.04415792226791382,0.008463541977107525,0.00725470669567585,0.0319010429084301,0.0318993479013443,0.006613135803490877,0.0017899097874760628,0.024490296840667725
vision_language_interaction.text_layers.2.linear1,linear,"[21, 1, 256] x [256, 1024]",0.1103050634264946,0.008235931396484375,0.0013020833721384406,0.0041046142578125,0.020500194281339645,0.038642995059490204,0.2799936532974243,0.0792410746216774,0.008235931396484375,0.00390625,0.0041046142578125,0.016618428751826286,0.03327745944261551,0.2741730213165283,0.02176339365541935,0.006465911865234375,0.0318080373108387,0.032001495361328125,0.0062461672350764275,0.012229334563016891,0.09803390502929688
text_encoder.bert.encoder.layer.3.attention.output.dense,linear,"[1, 14, 768] x [768, 768]",0.0399925597012043,0.01119316928088665,9.300595411332324e-05,0.0013580322265625,0.02046867273747921,0.0027625213842839003,0.01645195484161377,0.0240885429084301,0.01119316928088665,0.0013950893189758062,0.0013580322265625,0.013868401758372784,0.0023982892744243145,0.021168410778045654,0.009858631528913975,0.007378472480922937,0.0318080373108387,0.03179931640625,0.006941813509911299,0.0011926970910280943,0.009460151195526123
text_encoder.bert.encoder.layer.10.attention.output.dense,linear,"[1, 21, 768] x [768, 768]",0.0557415708899498,0.011384752579033375,6.200397183420137e-05,0.0013631185283884406,0.020437059924006462,0.005404464900493622,0.02946484088897705,0.0435887910425663,0.011384752579033375,0.0013640873366966844,0.0013631185283884406,0.015251794829964638,0.004202099051326513,0.026553750038146973,0.0078125,0.007210625801235437,0.0316220261156559,0.0318654365837574,0.008155064657330513,0.0022363350726664066,0.019321560859680176
text_encoder.bert.encoder.layer.9.attention.output.dense,linear,"[1, 14, 768] x [768, 768]",0.0526413694024086,0.010623508132994175,9.300595411332324e-05,0.0013478597393259406,0.020412638783454895,0.0038622887805104256,0.0315721333026886,0.0272507444024086,0.010623508132994175,0.0013950893189758062,0.0013478597393259406,0.013706610538065434,0.002587128197774291,0.025310099124908447,0.010044642724096775,0.00710211880505085,0.0319940485060215,0.0318840891122818,0.007497070357203484,0.0014299281174317002,0.014328092336654663
text_encoder.bert.encoder.layer.4.attention.self,attention_av,"[1, 12, 14, 14] x [1, 12, 14, 64]",0.425595223903656,0.011439732275903225,0.010204081423580647,0.0723586305975914,0.020273687317967415,0.004046159330755472,0.027036845684051514,0.3966836631298065,0.012927827425301075,0.07185374200344086,0.0724516361951828,0.013150985352694988,0.002943685045465827,0.025489777326583862,0.7332589626312256,0.56982421875,0.0314360111951828,0.0315348319709301,0.01256568729877472,0.0029415066819638014,0.024442054331302643
text_encoder.bert.encoder.layer.9.attention.self,attention_av,"[1, 12, 14, 14] x [1, 12, 14, 64]",0.38435372710227966,0.010044642724096775,0.010204081423580647,0.0724516361951828,0.01998871937394142,0.0037119335029274225,0.034206509590148926,0.3460884392261505,0.009765625,0.0714285671710968,0.0719866082072258,0.012866316363215446,0.0024743182584643364,0.02451646327972412,0.7313988208770752,0.5668538808822632,0.03125,0.031494140625,0.012757651507854462,0.0026890032459050417,0.03225147724151611
vision_language_interaction.text_layers.1.self_attn,linear,"[21, 1, 256] x [256, 768]",0.0626860111951828,0.0098724365234375,0.00037202381645329297,0.0040130615234375,0.019823459908366203,0.024028802290558815,0.13469362258911133,0.0459449402987957,0.0098724365234375,0.00390625,0.0040130615234375,0.01531539112329483,0.017165306955575943,0.11530065536499023,0.012462797574698925,0.007319132797420025,0.0329241082072258,0.0317840576171875,0.006596947554498911,0.007315250113606453,0.05094456672668457
text_encoder.bert.encoder.layer.6.attention.output.dense,linear,"[1, 14, 768] x [768, 768]",0.0880766361951828,0.011338976211845875,9.300595411332324e-05,0.0013597276993095875,0.019697245210409164,0.00612071854993701,0.04981064796447754,0.02594866044819355,0.011338976211845875,0.0013020833721384406,0.0013597276993095875,0.010871176607906818,0.002856615697965026,0.032651662826538086,0.007905506528913975,0.0072920056991279125,0.0315290167927742,0.0318332239985466,0.006934621371328831,0.0018046683399006724,0.021915078163146973
vision_encoder.backbone.layer.9.attention.o_proj,linear,"[1, 261, 768] x [768, 768]",0.038703303784132004,0.011525471694767475,4.988824912288692e-06,0.0013512505684047937,0.019635707139968872,0.011313537135720253,0.08228951692581177,0.022664232179522514,0.011525471694767475,0.0013469827827066183,0.0013512505684047937,0.01282310951501131,0.008601224981248379,0.06739687919616699,0.00737847201526165,0.007327609695494175,0.03172892704606056,0.0317942313849926,0.007200521882623434,0.004856457933783531,0.03484177589416504
text_encoder.bert.encoder.layer.3.attention.output.dense,linear,"[1, 21, 768] x [768, 768]",0.0328621044754982,0.01119316928088665,6.200397183420137e-05,0.0013580322265625,0.019314896315336227,0.002675255760550499,0.01823732629418373,0.0218874029815197,0.01119316928088665,0.0013020833721384406,0.0013580322265625,0.014318466186523438,0.0022240609396249056,0.018210530281066895,0.01302083395421505,0.007378472480922937,0.0318080373108387,0.03179931640625,0.006996155716478825,0.0010962843662127852,0.007562220096588135
text_encoder.bert.encoder.layer.8.attention.output.dense,linear,"[1, 14, 768] x [768, 768]",0.0645461305975914,0.011211819015443325,9.300595411332324e-05,0.0013393826084211469,0.019065581262111664,0.004391157999634743,0.04573696851730347,0.0213913694024086,0.011211819015443325,0.0013020833721384406,0.0013393826084211469,0.013067211024463177,0.0028308171313256025,0.028692245483398438,0.00837053544819355,0.0075700548477470875,0.0319940485060215,0.0317874476313591,0.00775108952075243,0.001741599990054965,0.021265864372253418
vision_encoder.backbone.layer.0.attention.o_proj,linear,"[1, 261, 768] x [768, 768]",0.22069065272808075,0.02412753738462925,4.988824912288692e-06,0.0013427734375,0.018862975761294365,0.03777926415205002,0.4568643569946289,0.2040678858757019,0.02412753738462925,0.0013070721179246902,0.0013427734375,0.017739541828632355,0.0374847874045372,0.4112272262573242,0.033060941845178604,0.00902472622692585,0.03126995638012886,0.0318128801882267,0.007304363884031773,0.01480826549232006,0.21546638011932373
text_encoder.bert.encoder.layer.7.attention.output.dense,linear,"[1, 14, 768] x [768, 768]",0.0748697966337204,0.0111372210085392,9.300595411332324e-05,0.0013512505684047937,0.018693357706069946,0.004252600483596325,0.02812597155570984,0.03050595335662365,0.0111372210085392,0.0013020833721384406,0.0013512505684047937,0.011799857951700687,0.0024002757854759693,0.02089512348175049,0.0086495541036129,0.0072784423828125,0.0321800597012043,0.0317620187997818,0.006888600066304207,0.0014221627498045564,0.021221160888671875
vision_encoder.backbone.layer.7.attention.o_proj,linear,"[1, 261, 768] x [768, 768]",0.03338022902607918,0.012508816085755825,4.988824912288692e-06,0.0013376871356740594,0.01864958368241787,0.009574993513524532,0.05858033895492554,0.027842631563544273,0.012508816085755825,0.0013270274503156543,0.0013376871356740594,0.015423569828271866,0.009261012077331543,0.06304335594177246,0.009523666463792324,0.007556491531431675,0.031763847917318344,0.0318433977663517,0.007622963283210993,0.004630638752132654,0.029404103755950928
text_encoder.bert.encoder.layer.8.attention.self,attention_av,"[1, 12, 14, 14] x [1, 12, 14, 64]",0.38562923669815063,0.013764881528913975,0.010204081423580647,0.0723586305975914,0.0186313409358263,0.004182760138064623,0.03585535287857056,0.34778910875320435,0.01302083395421505,0.0714285671710968,0.072265625,0.012408390641212463,0.0028031060937792063,0.0296555757522583,0.7250744104385376,0.5685221552848816,0.03125,0.0316162109375,0.011589846573770046,0.0028972921427339315,0.026635676622390747
text_encoder.bert.encoder.layer.11.attention.output.dense,linear,"[1, 21, 768] x [768, 768]",0.1095610186457634,0.010799831710755825,0.0004340278101153672,0.0013512505684047937,0.018589036539196968,0.00508461520075798,0.026242971420288086,0.0337921641767025,0.010799831710755825,0.0013020833721384406,0.0013512505684047937,0.013628114946186543,0.004075714852660894,0.03916049003601074,0.007068452890962362,0.00722418911755085,0.0320560522377491,0.0318044014275074,0.008456513285636902,0.0026020461227744818,0.01828712224960327
text_encoder.bert.encoder.layer.5.attention.output.dense,linear,"[1, 11, 768] x [768, 768]",0.0794270858168602,0.0111982561647892,0.00011837121564894915,0.0013478597393259406,0.018552033230662346,0.00523022236302495,0.03140731155872345,0.03172348439693451,0.0111982561647892,0.0013020833721384406,0.0013478597393259406,0.011214683763682842,0.0037262628320604563,0.04829144477844238,0.007694128900766373,0.00725470669567585,0.03136837109923363,0.0318993479013443,0.006515225861221552,0.002161335200071335,0.02619612216949463
vision_projection.mlp.3,linear,"[1, 2, 256, 1024] x [1024, 256]",0.029247283935546875,0.006500244140625,1.9073486328125e-06,0.00102996826171875,0.01821611262857914,0.00496832188218832,0.030946075916290283,0.019380569458007812,0.006500244140625,0.0009899139404296875,0.00102996826171875,0.010447726584970951,0.003462598891928792,0.02589300274848938,0.008737564086914062,0.005035400390625,0.03145027160644531,0.0322113037109375,0.005320250988006592,0.001829120796173811,0.010949507355690002
text_encoder.bert.encoder.layer.11.attention.output.dense,linear,"[1, 11, 768] x [768, 768]",0.12062026560306549,0.010799831710755825,0.0002367424312978983,0.0013512505684047937,0.018101859837770462,0.005108669865876436,0.026522329077124596,0.03870738670229912,0.010799831710755825,0.0013020833721384406,0.0013512505684047937,0.014679291285574436,0.0036338900681585073,0.029784277081489563,0.008167614229023457,0.00722418911755085,0.03184185549616814,0.0318044014275074,0.008288438431918621,0.0022858097217977047,0.019546687602996826
text_encoder.bert.encoder.layer.10.attention.output.dense,linear,"[1, 11, 768] x [768, 768]",0.05125473812222481,0.011384752579033375,0.0002367424312978983,0.0013631185283884406,0.01793612353503704,0.004772956017404795,0.022786438465118408,0.037050191313028336,0.011384752579033375,0.0013020833721384406,0.0013631185283884406,0.015280320309102535,0.003309298073872924,0.02437347173690796,0.01124526560306549,0.007210625801235437,0.03184185549616814,0.0318654365837574,0.007804130669683218,0.0017428011633455753,0.012240588665008545
