seq,module_path,op,mapping,optimization_flags,total_cycles,base_total_cycles,serial_total_cycles,compute_cycles,fallback_cycles,snapshot_cycles,requant_cycles,write_cycles,base_write_cycles,activation_read_cycles,base_activation_read_cycles,weight_read_cycles,base_weight_read_cycles,valid_mac_count,tile_count,activation_bytes,weight_bytes,output_bytes,pipeline_guard_cycles
46,text_encoder.bert.encoder.layer.5.intermediate.dense,GEMM_W8A16,rtl_gemm,overlap,100352,211264,211264,100352,,512,4032,4032,4032,64512,64512,98304,98304,49545216,128,32256,2359296,129024,0
47,text_encoder.bert.encoder.layer.5.output.dense,GEMM_W8A16,rtl_gemm,overlap,98816,200272,200272,98816,,128,1008,1008,1008,64512,64512,98304,98304,49545216,32,129024,2359296,32256,0
48,text_encoder.bert.encoder.layer.5.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
49,text_encoder.bert.encoder.layer.6.attention.self.query,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
50,text_encoder.bert.encoder.layer.6.attention.self.key,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
51,text_encoder.bert.encoder.layer.6.attention.self.value,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
52,text_encoder.bert.encoder.layer.6.attention.output.dense,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
53,text_encoder.bert.encoder.layer.6.attention.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
54,text_encoder.bert.encoder.layer.6.intermediate.dense,GEMM_W8A16,rtl_gemm,overlap,100352,211264,211264,100352,,512,4032,4032,4032,64512,64512,98304,98304,49545216,128,32256,2359296,129024,0
55,text_encoder.bert.encoder.layer.6.output.dense,GEMM_W8A16,rtl_gemm,overlap,98816,200272,200272,98816,,128,1008,1008,1008,64512,64512,98304,98304,49545216,32,129024,2359296,32256,0
56,text_encoder.bert.encoder.layer.6.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
57,text_encoder.bert.encoder.layer.7.attention.self.query,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
58,text_encoder.bert.encoder.layer.7.attention.self.key,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
59,text_encoder.bert.encoder.layer.7.attention.self.value,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
60,text_encoder.bert.encoder.layer.7.attention.output.dense,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
61,text_encoder.bert.encoder.layer.7.attention.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
62,text_encoder.bert.encoder.layer.7.intermediate.dense,GEMM_W8A16,rtl_gemm,overlap,100352,211264,211264,100352,,512,4032,4032,4032,64512,64512,98304,98304,49545216,128,32256,2359296,129024,0
63,text_encoder.bert.encoder.layer.7.output.dense,GEMM_W8A16,rtl_gemm,overlap,98816,200272,200272,98816,,128,1008,1008,1008,64512,64512,98304,98304,49545216,32,129024,2359296,32256,0
64,text_encoder.bert.encoder.layer.7.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
65,text_encoder.bert.encoder.layer.8.attention.self.query,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
66,text_encoder.bert.encoder.layer.8.attention.self.key,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
67,text_encoder.bert.encoder.layer.8.attention.self.value,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
68,text_encoder.bert.encoder.layer.8.attention.output.dense,GEMM_W8A16,rtl_gemm,overlap,25088,52816,52816,25088,,128,1008,1008,1008,16128,16128,24576,24576,12386304,32,32256,589824,32256,0
69,text_encoder.bert.encoder.layer.8.attention.output.LayerNorm,LAYER_NORM,rtl_vector,overlap,8064,8064,,,8064,,,,,,,,,,,64512,,64512,
70,text_encoder.bert.encoder.layer.8.intermediate.dense,GEMM_W8A16,rtl_gemm,overlap,100352,211264,211264,100352,,512,4032,4032,4032,64512,64512,98304,98304,49545216,128,32256,2359296,129024,0
