seq,module_path,op,mapping,optimization_flags,total_cycles,base_total_cycles,serial_total_cycles,compute_cycles,fallback_cycles,snapshot_cycles,requant_cycles,write_cycles,base_write_cycles,activation_read_cycles,base_activation_read_cycles,weight_read_cycles,base_weight_read_cycles,valid_mac_count,tile_count,activation_bytes,weight_bytes,output_bytes,pipeline_guard_cycles
48,text_encoder.bert.encoder.layer.5.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
49,text_encoder.bert.encoder.layer.6.attention.self.query,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
50,text_encoder.bert.encoder.layer.6.attention.self.key,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
51,text_encoder.bert.encoder.layer.6.attention.self.value,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
52,text_encoder.bert.encoder.layer.6.attention.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
53,text_encoder.bert.encoder.layer.6.attention.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
54,text_encoder.bert.encoder.layer.6.intermediate.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",100368,211264,162112,100352,,512,4032,4032,4032,1008,64512,49152,98304,49545216,128,32256,2359296,129024,16
55,text_encoder.bert.encoder.layer.6.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",98832,200272,151120,98816,,128,1008,1008,1008,4032,64512,49152,98304,49545216,32,129024,2359296,32256,16
56,text_encoder.bert.encoder.layer.6.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
57,text_encoder.bert.encoder.layer.7.attention.self.query,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
58,text_encoder.bert.encoder.layer.7.attention.self.key,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
59,text_encoder.bert.encoder.layer.7.attention.self.value,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
60,text_encoder.bert.encoder.layer.7.attention.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
61,text_encoder.bert.encoder.layer.7.attention.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
62,text_encoder.bert.encoder.layer.7.intermediate.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",100368,211264,162112,100352,,512,4032,4032,4032,1008,64512,49152,98304,49545216,128,32256,2359296,129024,16
63,text_encoder.bert.encoder.layer.7.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",98832,200272,151120,98816,,128,1008,1008,1008,4032,64512,49152,98304,49545216,32,129024,2359296,32256,16
64,text_encoder.bert.encoder.layer.7.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
65,text_encoder.bert.encoder.layer.8.attention.self.query,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
66,text_encoder.bert.encoder.layer.8.attention.self.key,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
67,text_encoder.bert.encoder.layer.8.attention.self.value,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
68,text_encoder.bert.encoder.layer.8.attention.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
69,text_encoder.bert.encoder.layer.8.attention.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
70,text_encoder.bert.encoder.layer.8.intermediate.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",100368,211264,162112,100352,,512,4032,4032,4032,1008,64512,49152,98304,49545216,128,32256,2359296,129024,16
71,text_encoder.bert.encoder.layer.8.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",98832,200272,151120,98816,,128,1008,1008,1008,4032,64512,49152,98304,49545216,32,129024,2359296,32256,16
72,text_encoder.bert.encoder.layer.8.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
73,text_encoder.bert.encoder.layer.9.attention.self.query,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
74,text_encoder.bert.encoder.layer.9.attention.self.key,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
75,text_encoder.bert.encoder.layer.9.attention.self.value,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
76,text_encoder.bert.encoder.layer.9.attention.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
77,text_encoder.bert.encoder.layer.9.attention.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
78,text_encoder.bert.encoder.layer.9.intermediate.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",100368,211264,162112,100352,,512,4032,4032,4032,1008,64512,49152,98304,49545216,128,32256,2359296,129024,16
79,text_encoder.bert.encoder.layer.9.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",98832,200272,151120,98816,,128,1008,1008,1008,4032,64512,49152,98304,49545216,32,129024,2359296,32256,16
80,text_encoder.bert.encoder.layer.9.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
81,text_encoder.bert.encoder.layer.10.attention.self.query,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
82,text_encoder.bert.encoder.layer.10.attention.self.key,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
83,text_encoder.bert.encoder.layer.10.attention.self.value,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
84,text_encoder.bert.encoder.layer.10.attention.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
85,text_encoder.bert.encoder.layer.10.attention.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
86,text_encoder.bert.encoder.layer.10.intermediate.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",100368,211264,162112,100352,,512,4032,4032,4032,1008,64512,49152,98304,49545216,128,32256,2359296,129024,16
87,text_encoder.bert.encoder.layer.10.output.dense,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",98832,200272,151120,98816,,128,1008,1008,1008,4032,64512,49152,98304,49545216,32,129024,2359296,32256,16
88,text_encoder.bert.encoder.layer.10.output.LayerNorm,LAYER_NORM,rtl_vector,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",6048,8064,,,6048,,,,,,,,,,,64512,,64512,
89,text_encoder.bert.encoder.layer.11.attention.self.query,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
90,text_encoder.bert.encoder.layer.11.attention.self.key,GEMM_W8A16,rtl_gemm,"act_reuse,fanout,fusion,order,overlap,pipeline,tile_mask,vector_pipeline,weight_reuse,write_coalesce",25104,52816,40528,25088,,128,1008,1008,1008,1008,16128,12288,24576,12386304,32,32256,589824,32256,16
