descriptor_id,source_seq,op,mapping,total_cycles,mapped_cycles,fallback_cycles,compute_cycles,read_cycles,write_cycles,snapshot_cycles,requant_cycles,valid_mac_count,active_pe_cycles,tile_count,activation_bytes,weight_bytes,output_bytes
759,759,AUX_EVENT,aux_behavior,12096,0,12096,0,1,4032,0,0,0,0,0,1,0,64512
760,760,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
761,761,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
762,762,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
763,763,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
764,764,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
765,765,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
766,766,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
767,767,AUX_EVENT,aux_behavior,442368,0,442368,0,1,147456,0,0,0,0,0,1,0,2359296
768,768,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
769,769,ADD,vector_rtl,2016,0,2016,0,1,1008,0,0,0,0,0,1,0,16128
770,770,LAYER_NORM,vector_rtl,2016,0,2016,0,1,1008,0,0,0,0,0,1,0,16128
771,771,GEMM_W8A8,rtl_gemm,19760,19760,0,12544,6144,1008,64,1008,12386304,6193152,16,16128,589824,16128
772,772,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
773,773,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
774,774,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
775,775,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
776,776,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
777,777,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
778,778,AUX_EVENT,aux_behavior,3024,0,3024,0,1,1008,0,0,0,0,0,1,0,16128
779,779,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
780,780,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
781,781,AUX_EVENT,aux_behavior,110592,0,110592,0,1,36864,0,0,0,0,0,1,0,589824
